company_id,company_name,normalized_name,editions,booths,unit_type,tags,industry_chain_position,country,province,city,district,region,organization_nature,service_scope,representative_projects,association_member,ufi_related,icca_related,international_memberships,website,address,phone,email,fax,data_source_summary,trust_level,updated_at,contact_policy,verification_status,confidence,location_method,source_ids,source_types,notes
C0001,中原国际会展中心,中原国际会展中心,中国博览会和展览会2025、中国博览会和展览会2026、第二届展链会,L08,展馆与会议中心,展会主办/承办机构、展馆与会议中心,上游,中国,河南省,郑州市,航空港区,华中,事业单位/研究机构,场馆运营、会议展览承载、组展、招商、项目运营、品牌展会、国际展、出海服务、跨境资源,中展博2025项目0535、中展博2025项目0536、中展博2025项目0549、中展博2025项目0559、第三届中欧班列 (郑州) 博览会,待核验,待核验,待核验,待核验,,航空港区滨河东路与会展五路交汇处,15939250095,,,中国博览会和展览会、展链会手册/展商名录,C,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验；《中国博览会和展览会2025》展会地点收录，待场馆官网/地图核验,低,source_directory_city,S0001、S0187、S8967、S8968、S9016、S9056、S13934,china_expo_2025_venue、china_expo_2026_venue、pdf_detail、pdf_summary,中展博2025项目0535；展会地点：中原国际会展中心；中展博2025项目0536；展会地点：中原国际会展中心；中展博2025项目0549；展会地点：中原国际会展中心
C0002,艺搭环保科技（上海）有限公司,艺搭环保科技上海有限公司,第二届展链会、首届展链会,L21、T08,企业,展览设计公司、注册票证与数字系统,中游,中国,上海市,上海市,,华东,民企/市场化机构,展示设计、空间设计、绿色展装、注册票证、数据系统、数字平台、AI工具,待补充,待核验,待核验,待核验,待核验,,,,,,展链会手册/展商名录,C,2026-05-25,,仅名录收录，待外部核验,中,name,S0002、S0347,image_manual、pdf_summary,
C0003,艺搭环保科技（广州）有限公司,艺搭环保科技广州有限公司,第二届展链会,L21,企业,展览设计公司、注册票证与数字系统,中游,中国,广东省,广州市,,华南,民企/市场化机构,展示设计、空间设计、绿色展装、注册票证、数据系统、数字平台、AI工具,待补充,待核验,待核验,待核验,待核验,,,,,,展链会手册/展商名录,C,2026-05-25,,仅名录收录，待外部核验,中,name,S0003,pdf_summary,
C0004,厦门市会议展览业协会,厦门市会议展览业协会,中国博览会和展览会2025、第二届展链会,A08,行业协会与商协会,展会主办/承办机构、展馆与会议中心、行业协会与商协会,支持机构,中国,福建省,厦门市,,华东,协会,行业组织、会员服务、标准研究、场馆运营、会议展览承载、组展、招商、项目运营、品牌展会、国际展、出海服务、跨境资源,中展博2025项目0185,待核验,待核验,待核验,待核验,,厦门前埔路 198 号国际会展中心 A6 馆 50 号门 410,13950000336,,,中国博览会和展览会、展链会手册/展商名录,C,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验；《中国博览会和展览会2025》主办机构收录，联系方式为展会项目公开联系方式，待主体核验,低,source_directory_city,S0005、S0206、S7727、S7728,china_expo_2025_organizer、pdf_detail、pdf_summary,中展博2025项目0185；主办；电话：13859991903；邮箱：；官网：https://www.xmce.org/detail.asp?id=15494；中展博2025项目0185；承办；电话：13859991903；邮箱：；官网：https://www.xmce.org/detail.asp?id=15494；服务口径：组展、招商、项目运营、品牌展会
C0005,厦门会展集团股份有限公司,厦门会展集团股份有限公司,中国博览会和展览会2025、中国博览会和展览会2026、中国展览馆协会会员名录、中国展览馆协会理事会、第二届展链会,A08、厦门展团 A08,企业,展会主办/承办机构,上游,中国,福建省,厦门市,思明区,华东,民企/市场化机构,组展、招商、项目运营、品牌展会,中国厦门国际茶包装设计 (春季) 展览会、中展博2025项目0172、中展博2025项目0175、中展博2025项目0176、中展博2025项目0199、中展博2025项目0201,中国展览馆协会会员；中国展览馆协会副理事长单位,待核验,待核验,待核验,,厦门市思明区会展路 198 号,0592-5959151,info@stonefair.org.cn,0592-5959689,中国博览会和展览会、中国展览馆协会官网、展链会手册/展商名录,A,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验；中国展览馆协会官网会员名录公开收录，地址/工商待补充,高,source_official_city,S0006、S0269、S0514、S6615、S7674、S7687、S7692、S7758、S7765、S12818、S12843、S12848,caec_council、caec_member、china_expo_2025_organizer、china_expo_2026_organizer、pdf_detail、pdf_summary,中国厦门国际茶包装设计 (春季) 展览会；主办；电话：；邮箱：；官网：；中展博2025项目0172；主办；电话：0592-5959616；邮箱：info@stonefair.org.cn；官网：www.stonefair.org.cn  ֡ଢ଼ދठ۪ޱלѪͣ/)*:ͤ；中展博2025项目0175；主办；电话：0592-5959618；邮箱：info@buddhafair.com；官网：https://spring.buddhafair.com/  З֡⧭ୈ֡ଢ଼咰уЎͣއ؃ͤԧ੒Ѫ
C0006,厦门建旅商务会展有限公司,厦门建旅商务会展有限公司,第二届展链会,A08,企业,会展策划与活动公司,中游,中国,福建省,厦门市,,华东,民企/市场化机构,会务服务、项目执行、供需对接,待补充,待核验,待核验,待核验,待核验,,,,,,展链会手册/展商名录,C,2026-05-25,,仅名录收录，待外部核验,中,name,S0007,pdf_summary,
C0007,厦门佰翔酒店集团,厦门佰翔酒店集团,第二届展链会,A08、厦门展团 A08,酒店餐饮商旅服务,酒店餐饮商旅服务,中游,中国,福建省,厦门市,湖里区,华东,民企/市场化机构,住宿、餐饮、商旅、目的地服务、餐饮、饮品、礼品及配套服务,待补充,待核验,待核验,待核验,待核验,,厦门市湖里区翔云三路 115 号翔通中心 4F,18005026822,,,展链会手册/展商名录,B,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验,高,address,S0008、S0298,pdf_detail、pdf_summary,
C0008,厦门中音少林演出设备有限公司,厦门中音少林演出设备有限公司,第二届展链会,A08、厦门展团 A08,企业,AV灯光音响与数字互动、物料制作与展具租赁,中游,中国,福建省,厦门市,湖里区,华东,民企/市场化机构,物料制作、展具租赁、临设配套、AV、灯光音响、数字互动,待补充,待核验,待核验,待核验,待核验,,厦门市湖里区兴隆路 88 号,15880260027,,,展链会手册/展商名录,B,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验,高,address,S0009、S0261,pdf_detail、pdf_summary,
C0009,厦门博艺通展览展示服务有限公司,厦门博艺通展览展示服务有限公司,中国展览馆协会会员名录、第二届展链会,A08、厦门展团 A08,企业,展览设计公司,中游,中国,福建省,厦门市,翔安区,华东,民企/市场化机构,展示设计、空间设计、绿色展装、国际展、出海服务、跨境资源,待补充,中国展览馆协会会员,待核验,待核验,待核验,,厦门市翔安区鼓岩路 1 号华论国际大厦 15 楼,13606056778,,,中国展览馆协会官网、展链会手册/展商名录,A,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验；中国展览馆协会官网会员名录公开收录，地址/工商待补充,高,address,S0010、S0258、S2400,caec_member、pdf_detail、pdf_summary,入会/收录时间：2016-07-01
C0010,厦门东南馨都会展服务有限公司,厦门东南馨都会展服务有限公司,第二届展链会、首届展链会,A08、T13、厦门展团 A08,企业,会展策划与活动公司,中游,中国,福建省,厦门市,思明区,华东,民企/市场化机构,会务服务、项目执行、供需对接,待补充,待核验,待核验,待核验,待核验,,厦门市思明区环岛东路 1801 号中航紫金广场 A 塔 802,15605928885,,,展链会手册/展商名录,B,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验,高,address,S0011、S0262、S0360,image_manual、pdf_detail、pdf_summary,
C0011,厦门芳途假日国际旅行社有限公司,厦门芳途假日国际旅行社有限公司,第二届展链会,A08、厦门展团 A08,企业,酒店餐饮商旅服务,中游,中国,福建省,厦门市,湖里区,华东,民企/市场化机构,住宿、餐饮、商旅、目的地服务、国际展、出海服务、跨境资源,待补充,待核验,待核验,待核验,待核验,,厦门市湖里区金山西里 59 号 902,18206088375,,,展链会手册/展商名录,B,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验,高,address,S0012、S0259,pdf_detail、pdf_summary,
C0012,惠乐（厦门）商务会展有限公司,惠乐厦门商务会展有限公司,第二届展链会,A08、厦门展团 A08,企业,会展策划与活动公司,中游,中国,福建省,厦门市,,华东,民企/市场化机构,会务服务、项目执行、供需对接,待补充,待核验,待核验,待核验,待核验,,,13859901282,,,展链会手册/展商名录,C,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验,中,name,S0013、S0263,pdf_detail、pdf_summary,
C0013,厦门京闽能源实业有限公司会议服务分公司,厦门京闽能源实业有限公司会议服务分公司,第二届展链会,A08、厦门展团 A08,企业,会展策划与活动公司,中游,中国,福建省,厦门市,,华东,民企/市场化机构,会务服务、项目执行、供需对接,待补充,待核验,待核验,待核验,待核验,,,18559273990,,,展链会手册/展商名录,C,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验,中,name,S0014、S0264,pdf_detail、pdf_summary,
C0014,厦门艾搏展览服务有限公司,厦门艾搏展览服务有限公司,中国展览馆协会会员名录、第二届展链会,A08、厦门展团 A08,企业,待判定,待判定,中国,福建省,厦门市,湖里区,华东,民企/市场化机构,待外部核验,待补充,中国展览馆协会会员,待核验,待核验,待核验,,厦门市湖里区台湾街 181 号新景天湖广场 2 号楼 3 层,13806081797,,,中国展览馆协会官网、展链会手册/展商名录,A,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验；中国展览馆协会官网会员名录公开收录，地址/工商待补充,高,address,S0015、S0268、S4593,caec_member、pdf_detail、pdf_summary,入会/收录时间：2020-02-01
C0015,厦门芭蕉鱼文体产业有限公司,厦门芭蕉鱼文体产业有限公司,第二届展链会,A08、厦门展团 A08,企业,待判定,待判定,中国,福建省,厦门市,翔安区,华东,民企/市场化机构,待外部核验,待补充,待核验,待核验,待核验,待核验,,厦门市翔安区鸿江道 998 号之一,13376929806,,,展链会手册/展商名录,B,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验,高,address,S0016、S0265,pdf_detail、pdf_summary,
C0016,厦门会展中机联展览有限公司,厦门会展中机联展览有限公司,第二届展链会,A08、厦门展团 A08,企业,展会主办/承办机构,上游,中国,福建省,厦门市,,华东,民企/市场化机构,组展、招商、项目运营、品牌展会,待补充,待核验,待核验,待核验,待核验,,,18150165189,,,展链会手册/展商名录,C,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验,中,name,S0017、S0260,pdf_detail、pdf_summary,
C0017,厦门禹洲温德姆至尊豪廷大酒店,厦门禹洲温德姆至尊豪廷大酒店,第二届展链会、首届展链会,A08、T13、厦门展团 A08,酒店餐饮商旅服务,酒店餐饮商旅服务,中游,中国,福建省,厦门市,,华东,民企/市场化机构,住宿、餐饮、商旅、目的地服务、餐饮、饮品、礼品及配套服务,待补充,待核验,待核验,待核验,待核验,,,13779930163,,,展链会手册/展商名录,C,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验,中,name,S0018、S0266、S0363,image_manual、pdf_detail、pdf_summary,
C0018,厦门悦华酒店,厦门悦华酒店,第二届展链会,A08、厦门展团 A08,酒店餐饮商旅服务,酒店餐饮商旅服务,中游,中国,福建省,厦门市,湖里区,华东,民企/市场化机构,住宿、餐饮、商旅、目的地服务、餐饮、饮品、礼品及配套服务,待补充,待核验,待核验,待核验,待核验,,厦门市湖里区悦华路 101 号,186 5925 5345,,,展链会手册/展商名录,B,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验,高,address,S0019、S0270,pdf_detail、pdf_summary,
C0019,厦门云线文化传播有限公司,厦门云线文化传播有限公司,第二届展链会,A08、厦门展团 A08,企业,广告传媒与公关传播、注册票证与数字系统,中游,中国,福建省,厦门市,火炬高新区,华东,民企/市场化机构,传播、公关、品牌营销、媒体合作、注册票证、数据系统、数字平台、AI工具,待补充,待核验,待核验,待核验,待核验,,厦门火炬高新区软件园一期曾厝垵北路 9 号兴汇楼三楼,15985854295,,,展链会手册/展商名录,B,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验,高,address,S0020、S0267,pdf_detail、pdf_summary,
C0020,厦门联合五鼎会展服务有限公司,厦门联合五鼎会展服务有限公司,第二届展链会,A08、厦门展团 A08,企业,会展策划与活动公司,中游,中国,福建省,厦门市,,华东,民企/市场化机构,会务服务、项目执行、供需对接,待补充,待核验,待核验,待核验,待核验,,,13328667687,,,展链会手册/展商名录,C,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验,中,name,S0021、S0271,pdf_detail、pdf_summary,
C0021,厦门燕泰会议策划服务有限公司,厦门燕泰会议策划服务有限公司,中国展览馆协会会员名录、第二届展链会,A08、厦门展团 A08,企业,会展策划与活动公司,中游,中国,福建省,厦门市,思明区,华东,民企/市场化机构,活动策划、会务执行、会奖服务,待补充,中国展览馆协会会员,待核验,待核验,待核验,,厦门市思明区吕岭路 2 号阿里山大厦 5E 之一,18030188503,,,中国展览馆协会官网、展链会手册/展商名录,A,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验；中国展览馆协会官网会员名录公开收录，地址/工商待补充,高,address,S0022、S0272、S0608,caec_member、pdf_detail、pdf_summary,入会/收录时间：2024-01-01
